St  Name                           Version                        Arch   Description                                                  Licenses
ii  git-man                        1:2.1.4-2.1+deb8u2             all    fast, scalable, distributed revision control system (manual  Apache-2.0 BSD-2-clause Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
ii  gnupg                          1.4.18-7+deb8u3                armhf  GNU privacy guard - a free PGP replacement                   GPL-3+ with OpenSSL exception RFC-Reference
ii  gpgv                           1.4.18-7+deb8u3                armhf  GNU privacy guard - signature verification tool              GPL-3+ with OpenSSL exception RFC-Reference
ii  grep                           2.20-4.1                       armhf  GNU grep, egrep and fgrep                                    GPL-3+
ii  groff-base                     1.22.2-8                       armhf  GNU troff text-formatting system (base system components)    GFDL-1.3 GPL-3
ii  gzip                           1.6-4                          armhf  GNU compression utilities                                    GPL
ii  hardlink                       0.3.0                          armhf  Hardlinks multiple copies of the same file                   Expat
ii  hostapd                        1:2.3-1+deb8u4                 armhf  IEEE 802.11 AP and IEEE 802.1X/WPA/WPA2/EAP Authenticator    BSD-3-clause BSD-3-clause or GPL-2 GPL-2 ISC public-domain
ii  hostname                       3.15                           armhf  utility to set/show the host name or domain name             GPL-2
ii  i2c-tools                      3.1.1+svn-2                    armhf  heterogeneous set of I2C tools for Linux                     GPL GPL-2
ii  ifupdown                       0.7.53.1                       armhf  high level tools to configure network interfaces             GPL-2
ii  info                           5.2.0.dfsg.1-6                 armhf  Standalone GNU Info documentation browser                    GPL-3
ii  init                           1.22                           armhf  System-V-like init utilities - metapackage                   BSD GPL-3+
ii  init-system-helpers            1.22                           all    helper tools for all init systems                            BSD GPL-3+
ii  initramfs-tools                0.120+deb8u2                   all    generic modular initramfs generator                          GPL-2
ii  initscripts                    2.88dsf-59                     armhf  scripts for initializing and shutting down the system        GPL-2
ii  insserv                        1.14.0-5                       armhf  boot sequence organizer using LSB init.d script dependency i GPL-2
ii  install-info                   5.2.0.dfsg.1-6                 armhf  Manage installed documentation in info format                GPL-3
ii  iproute2                       3.16.0-2                       armhf  networking and traffic control tools                         GPL-2
ii  iptables                       1.4.21-2                       armhf  administration tools for packet filtering and NAT            Artistic-2 GPL-2
ii  iputils-ping                   3:20121221-5                   armhf  Tools to test the reachability of network hosts              GPL
ii  isc-dhcp-client                4.3.1-6+deb8u2                 armhf  DHCP client for automatically obtaining an IP address        ISC
ii  isc-dhcp-common                4.3.1-6+deb8u2                 armhf  common files used by all of the isc-dhcp packages            ISC
ii  iso-codes                      3.57-1                         all    ISO language, territory, currency, script codes and their tr LGPL-2.1+
ii  iw                             3.17-1                         armhf  tool for configuring Linux wireless devices                  ISC
ii  kbd                            1.15.5-2                       armhf  Linux console font and keytable utilities                    GPL-2+ GPL-any
ii  keyboard-configuration         1.123                          all    system-wide keyboard preferences                             GPL-2
ii  klibc-utils                    2.0.4-2+rpi1                   armhf  small utilities built with klibc for early boot              GPL-2
ii  kmod                           18-3                           armhf  tools for managing Linux kernel modules                      GPL-2 LGPL-2.1
ii  koruza                         1.0-20170913-1                 armhf  KORUZA                                                       unknown
ii  less                           458-3                          armhf  pager program similar to more                                GPL-3
ii  libacl1:armhf                  2.2.52-2                       armhf  Access control list shared library                           GPL LGPL-2.1
ii  libalgorithm-c3-perl           0.09-1                         all    Perl module for merging hierarchies using the C3 algorithm   Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-diff-perl         1.19.02-3                      all    module to find differences between files                     Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-diff-xs-perl      0.04-3+b1                      armhf  module to find differences between files (XS accelerated)    Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-merge-perl        0.08-2                         all    Perl module for three-way merge of textual data              Artistic GPL-1
ii  libapt-inst1.5:armhf           1.0.9.8.3                      armhf  deb package format runtime library                           GPL-2
ii  libapt-pkg4.12:armhf           1.0.9.8.3                      armhf  package management runtime library                           GPL-2
ii  libarchive-extract-perl        0.72-1                         all    generic archive extracting module                            Artistic Artistic or GPL-1+ GPL-1+
ii  libasan1:armhf                 4.9.2-10                       armhf  AddressSanitizer -- a fast memory error detector             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libasound2:armhf               1.0.28-1+rpi1                  armhf  shared library for ALSA applications                         LGPL-2.1
ii  libasound2-data                1.0.28-1+rpi1                  all    Configuration files and profiles for ALSA drivers            LGPL-2.1
ii  libatomic1:armhf               4.9.2-10                       armhf  support library providing __atomic built-in functions        Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libattr1:armhf                 1:2.4.47-2                     armhf  Extended attribute shared library                            GPL-2 LGPL-2.1
ii  libaudit-common                1:2.4-1                        all    Dynamic library for security auditing - common files         GPL LGPL-2.1
ii  libaudit1:armhf                1:2.4-1                        armhf  Dynamic library for security auditing                        GPL LGPL-2.1
ii  libavahi-common-data:armhf     0.6.31-5                       armhf  Avahi common data files                                      GPL GPL-2 LGPL-2.1
ii  libavahi-common3:armhf         0.6.31-5                       armhf  Avahi common library                                         GPL GPL-2 LGPL-2.1
ii  libavahi-core7:armhf           0.6.31-5                       armhf  Avahi's embeddable mDNS/DNS-SD library                       GPL GPL-2 LGPL-2.1
ii  libbind9-90                    1:9.9.5.dfsg-9+deb8u6          armhf  BIND9 Shared Library used by BIND                            unknown
ii  libblas-common                 1.2.20110419-10                armhf  Dependency package for all BLAS implementations              public domain
ii  libblas3                       1.2.20110419-10                armhf  Basic Linear Algebra Reference implementations, shared libra public domain
ii  libblkid1:armhf                2.25.2-6                       armhf  block device id library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libboost-iostreams1.49.0       1.49.0-4+b2                    armhf  Boost.Iostreams Library                                      Boost Software License
ii  libboost-iostreams1.50.0       1.50.0-1+b2                    armhf  Boost.Iostreams Library                                      Boost Software License
ii  libboost-iostreams1.53.0       1.53.0-6+b2                    armhf  Boost.Iostreams Library                                      Boost Software License
ii  libboost-iostreams1.54.0:armhf 1.54.0-5                       armhf  Boost.Iostreams Library                                      Boost Software License
ii  libboost-iostreams1.55.0:armhf 1.55.0+dfsg-3                  armhf  Boost.Iostreams Library                                      Boost
ii  libbsd0:armhf                  0.7.0-2                        armhf  utility functions from BSD systems - shared library          4-clause BSD licenses public domain
ii  libbz2-1.0:armhf               1.0.6-7                        armhf  high-quality block-sorting file compressor library - runtime GPL-2
ii  libc-bin                       2.19-18+deb8u6                 armhf  GNU C Library: Binaries                                      GPL-2 LGPL-2.1
ii  libc-dev-bin                   2.19-18+deb8u6                 armhf  GNU C Library: Development binaries                          GPL-2 LGPL-2.1
ii  libc6:armhf                    2.19-18+deb8u6                 armhf  GNU C Library: Shared libraries                              GPL-2 LGPL-2.1
ii  libc6-dbg:armhf                2.19-18+deb8u6                 armhf  GNU C Library: detached debugging symbols                    GPL-2 LGPL-2.1
ii  libc6-dev:armhf                2.19-18+deb8u6                 armhf  GNU C Library: Development Libraries and Header Files        GPL-2 LGPL-2.1
ii  libcap-ng0:armhf               0.7.4-2                        armhf  An alternate POSIX capabilities library                      GPL-2 GPL-3 LGPL-2.1
ii  libcap2:armhf                  1:2.24-8                       armhf  POSIX 1003.1e capabilities (library)                         BSD-3-clause BSD-3-clause or GPL-2 BSD-3-clause or GPL-2+ GPL-2 GPL-2+
ii  libcap2-bin                    1:2.24-8                       armhf  POSIX 1003.1e capabilities (utilities)                       BSD-3-clause BSD-3-clause or GPL-2 BSD-3-clause or GPL-2+ GPL-2 GPL-2+
ii  libcgi-fast-perl               1:2.04-1                       all    CGI subclass for work with FCGI                              Artistic Artistic or GPL-1+ GPL-1+
ii  libcgi-pm-perl                 4.09-1                         all    module for Common Gateway Interface applications             Artistic Artistic or GPL-1+ Artistic-2.0 Artistic-2.0 or Artistic or GPL-1+ Artistic-2.0 or GPL-1+ GPL-1+
ii  libclass-c3-perl               0.26-1                         all    pragma for using the C3 method resolution order              Artistic Artistic or GPL-1+ GPL-1+
ii  libclass-c3-xs-perl            0.13-2+b1                      armhf  Perl module to accelerate Class::C3                          Artistic Artistic or GPL-1+ GPL-1+
ii  libcloog-isl4:armhf            0.18.2-1                       armhf  Chunky Loop Generator (runtime library)                      GFDL GPL LGPL-2 LGPL-2.1
ii  libcomerr2:armhf               1.42.12-2                      armhf  common error description library                             unknown
ii  libcpan-meta-perl              2.142690-1                     all    Perl module to access CPAN distributions metadata            Artistic Artistic or GPL-1+ GPL-1+
ii  libcryptsetup4:armhf           2:1.6.6-5                      armhf  disk encryption support - shared library                     GPL-2+
ii  libcurl3:armhf                 7.38.0-4+deb8u4                armhf  easy-to-use client-side URL transfer library (OpenSSL flavou BSD-3-Clause BSD-4-Clause ISC curl
ii  libcurl3-gnutls:armhf          7.38.0-4+deb8u5                armhf  easy-to-use client-side URL transfer library (GnuTLS flavour BSD-3-Clause BSD-4-Clause ISC curl
ii  libcwidget3:armhf              0.5.17-2                       armhf  high-level terminal interface library for C++ (runtime files GPL
ii  libdaemon0:armhf               0.14-6                         armhf  lightweight C library for daemons - runtime library          GPL-2 LGPL
ii  libdata-optlist-perl           0.109-1                        all    module to parse and validate simple name/value option pairs  Artistic Artistic or GPL-1+ GPL-1+
ii  libdata-section-perl           0.200006-1                     all    module to read chunks of data from a module's DATA section   Artistic Artistic or GPL-1+ GPL-1+
ii  libdb5.3:armhf                 5.3.28-9                       armhf  Berkeley v5.3 Database Libraries [runtime]                   unknown
ii  libdbus-1-3:armhf              1.8.20-0+deb8u1                armhf  simple interprocess messaging system (library)               AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, LGPL-2+ Tcl-BSDish g10-permissive
ii  libdebconfclient0:armhf        0.192                          armhf  Debian Configuration Management System (C-implementation lib public domain
ii  libdevmapper1.02.1:armhf       2:1.02.90-2.2+deb8u1           armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  libdns-export100               1:9.9.5.dfsg-9+deb8u6          armhf  Exported DNS Shared Library                                  unknown
ii  libdns100                      1:9.9.5.dfsg-9+deb8u6          armhf  DNS Shared Library used by BIND                              unknown
ii  libdpkg-perl                   1.17.27                        all    Dpkg perl modules                                            BSD-2-clause GPL-2 GPL-2+ public-domain
ii  libdrm2:armhf                  2.4.65-3~bpo8+1                armhf  Userspace interface to kernel DRM services -- runtime        unknown
ii  libedit2:armhf                 3.1-20140620-2                 armhf  BSD editline and history libraries                           unknown
ii  libelf1:armhf                  0.159-4.2                      armhf  library to read and write ELF files                          GPL-2
ii  liberror-perl                  0.17-1.1                       all    Perl module for error/exception handling in an OO-ish way    Artistic GPL
ii  libestr0                       0.1.9-1.1                      armhf  Helper functions for handling strings (lib)                  LGPL-2.1
ii  libevent-2.0-5:armhf           2.0.21-stable-2                armhf  Asynchronous event notification library                      BSD license
ii  libexpat1:armhf                2.1.0-6+deb8u3                 armhf  XML parsing C library - runtime library                      unknown
ii  libexpat1-dev:armhf            2.1.0-6+deb8u3                 armhf  XML parsing C library - development kit                      unknown
ii  libfakeroot:armhf              1.20.2-1                       armhf  tool for simulating superuser privileges - shared libraries  Artistic GPL
ii  libfcgi-perl                   0.77-1+b1                      armhf  helper module for FastCGI                                    PD other
ii  libffi6:armhf                  3.1-2                          armhf  Foreign Function Interface library runtime                   GPL
ii  libfile-fcntllock-perl         0.22-1+b1                      armhf  Perl module for file locking with fcntl(2)                   Artistic Artistic or GPL-1+ GPL-1+
ii  libfreetype6:armhf             2.6-2rpi1rpi1g                 armhf  FreeType 2 font engine, shared library files                 BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libfreetype6-dev               2.6-2rpi1rpi1g                 armhf  FreeType 2 font engine, development files                    BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libftdi1:armhf                 0.20-2                         armhf  Library to control and program the FTDI USB controller       LGPL-2.1
ii  libgcc-4.9-dev:armhf           4.9.2-10                       armhf  GCC support library (development files)                      Artistic GFDL-1.2 GPL GPL-2 GPL-3
